date,open,high,low,close,adj close,volume,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,sentiment,count
04-01-21,289,297.399994,287.600006,295.299988,293.310455,3747495,0.078223315,0.068196308,0.076315333,0.076124258,0.073299943,0.087229976,0.084907284,0.107313002,0.097350775,0.077788113,0.084177498,0.089074195,2.090909091,11
05-01-21,295.399994,296.399994,288.799988,292.700012,290.727997,3232730,0.073530377,0.068725516,0.069627564,0.100171053,0.069463598,0.074296966,0.069308891,0.135326124,0.095222529,0.090273823,0.087350954,0.066702606,0.666666667,6
06-01-21,298.600006,304,298.600006,302,299.965332,3536290,0.094832312,0.071263252,0.065691977,0.123055196,0.06965126,0.093788869,0.068960072,0.064613037,0.082986544,0.098161295,0.089662795,0.077333391,1,4
07-01-21,308.799988,312.899994,305.899994,312,309.897949,4105055,0.079203334,0.06293685,0.084868809,0.107929842,0.087071422,0.102386181,0.065332579,0.064311183,0.084266746,0.089440232,0.091400999,0.080851823,2.666666667,6
08-01-21,314,321,311,312,309.897949,4121840,0.087832615,0.06657081,0.07325277,0.084866302,0.074285871,0.088341148,0.081951654,0.127779353,0.082872399,0.075995457,0.080591766,0.075659856,1.428571429,7
11-01-21,310,311.299988,298.299988,304.299988,302.249817,3479455,0.066771874,0.064025612,0.072561762,0.09016667,0.093336251,0.127939853,0.073734091,0.072916539,0.09136405,0.100149811,0.073795544,0.073237943,1.5,2
12-01-21,303,304.899994,284.200012,285.100006,283.179199,5780605,0.073575034,0.093761772,0.084379018,0.103707091,0.080105517,0.09808953,0.073803762,0.068720341,0.1100025,0.075093382,0.073267981,0.065494072,0,4
13-01-21,281.600006,291.799988,273.600006,291.799988,289.834015,6029795,0.063874455,0.062963076,0.079707953,0.113907026,0.067351782,0.116536521,0.063741348,0.079014365,0.125170373,0.095258874,0.068469575,0.064004654,1,1
14-01-21,291.799988,292.600006,287.100006,289.200012,287.251556,3260520,0.083194899,0.079983558,0.067817198,0.077627914,0.080861182,0.075598797,0.081496424,0.118708517,0.073059625,0.081869972,0.098645811,0.081136103,-0.625,8
15-01-21,281.100006,286,270,272.600006,270.763397,5425975,0.110563509,0.078596196,0.076211307,0.097486778,0.07933114,0.086205613,0.081670918,0.070664642,0.093846824,0.078452072,0.072030086,0.074940915,-1.111111111,9
18-01-21,270.399994,277.200012,266.399994,275.200012,273.345886,3034365,0.080110655,0.065726667,0.083846573,0.07951453,0.078384292,0.105407081,0.072547333,0.138031122,0.081930176,0.074210399,0.067601342,0.07268983,0,3
19-01-21,278.299988,285.299988,274.399994,285.100006,283.179199,3578310,0.080110655,0.065726667,0.083846573,0.07951453,0.078384292,0.105407081,0.072547333,0.138031122,0.081930176,0.074210399,0.067601342,0.07268983,0,0
20-01-21,290.799988,291.299988,279.200012,286.600006,284.669067,4032815,0.061662591,0.062374455,0.061486457,0.061822506,0.076382702,0.061565602,0.061621275,0.104776422,0.092156151,0.171696185,0.093572471,0.090883183,3,1
21-01-21,290,298,289.200012,297.899994,295.892944,3713295,0.088744796,0.07126648,0.078973089,0.089346158,0.076937458,0.114632011,0.073825923,0.068531629,0.094188443,0.098166034,0.078453812,0.066934167,0.8,5
22-01-21,297.700012,299.399994,290,292.600006,290.628662,2753535,0.075632776,0.068813002,0.080244722,0.081855014,0.082088051,0.08384098,0.075630654,0.114777247,0.080197783,0.07962878,0.099487722,0.077803269,0.875,8
25-01-21,297.299988,297.299988,287.200012,291,289.039429,3033415,0.077285607,0.079084963,0.072204265,0.085953748,0.064575315,0.114787963,0.075400325,0.124676545,0.082830625,0.070514632,0.085769523,0.066916491,1.333333333,6
26-01-21,286.799988,289.399994,280.200012,281,279.106812,2672740,0.078498509,0.070648251,0.080065671,0.093759122,0.071068218,0.116236708,0.090112399,0.07839237,0.101230576,0.071113596,0.071054549,0.077820029,0,2
27-01-21,279.399994,279.5,258.799988,265.299988,263.512573,6185875,0.088650028,0.071645997,0.112898879,0.064772458,0.109822229,0.071823302,0.082209174,0.077686095,0.088242448,0.06459775,0.086329034,0.081322606,1,2
28-01-21,258.399994,273.200012,247.199997,272,270.16745,5640105,0.080368194,0.071090172,0.094280916,0.087626149,0.085771191,0.121161169,0.072043792,0.071245308,0.088120909,0.068497786,0.095709294,0.064085121,0,2
29-01-21,268.700012,272,262.299988,266.799988,265.002472,3516595,0.087568223,0.067075847,0.088668295,0.084245924,0.12111565,0.067558655,0.108118395,0.067687353,0.086556016,0.068721885,0.08480363,0.067880127,-1,1
01-02-21,267.600006,271.600006,262.899994,265.600006,263.810577,2637585,0.094243249,0.068981974,0.090868546,0.082445756,0.091274149,0.070243012,0.072702736,0.124817961,0.07754702,0.073899846,0.080191787,0.072783964,1,3
02-02-21,269,274.299988,267.200012,270.600006,268.776886,2510185,0.080820801,0.064628435,0.065317958,0.080832149,0.096655404,0.158508539,0.065106477,0.064977331,0.112062847,0.06523622,0.065133303,0.080720536,-1,1
03-02-21,272.399994,278.600006,270.399994,275.200012,273.345886,2760060,0.086485695,0.21772236,0.070058531,0.069443917,0.070885524,0.068944676,0.069788108,0.068593242,0.069269294,0.069793331,0.069620282,0.069395039,1,2
04-02-21,277,280.799988,267.799988,267.799988,265.995728,2643820,0.081848391,0.199595165,0.069950134,0.070972512,0.072045473,0.069466837,0.06986126,0.069407473,0.078522722,0.070188503,0.078453493,0.069688037,1.5,2
05-02-21,269,273,264.399994,267.200012,265.39978,2690580,0.085838066,0.119971195,0.119267697,0.069195555,0.086211538,0.068706685,0.06936325,0.06819523,0.087119815,0.068906727,0.088319023,0.068905219,0,1
08-02-21,267.200012,268.100006,257.5,265.799988,264.009186,3895980,0.067043022,0.067508554,0.072613456,0.084616821,0.074555978,0.103988944,0.066453351,0.130107368,0.090260007,0.093029366,0.079264587,0.070558547,0.125,8
09-02-21,260,260.899994,255.600006,255.600006,253.877945,4598990,0.071436832,0.0631561,0.066961799,0.09944249,0.079340641,0.095452303,0.069893073,0.111522916,0.07902106,0.120245837,0.073290812,0.070236137,-0.4,5
10-02-21,254.600006,254.600006,241.300003,245.699997,244.044632,6346130,0.077904713,0.081708578,0.079395244,0.079268097,0.082150592,0.085519043,0.089009743,0.076744386,0.078207876,0.077134703,0.079613656,0.113343369,0.3,20
11-02-21,241.5,260.100006,241.300003,260,258.248291,4125230,0.090262577,0.067811191,0.084445286,0.084062447,0.076274424,0.101683627,0.084743021,0.084046347,0.103984282,0.075231918,0.068972457,0.078482422,0.818181818,11
12-02-21,264,265.100006,256.399994,260.200012,258.44696,3517945,0.088926297,0.076057033,0.073945971,0.093110561,0.085877614,0.091820458,0.073240748,0.09274359,0.091438448,0.069833188,0.085147781,0.07785831,1.666666667,3
15-02-21,263,266,261.600006,264.200012,262.420013,2353970,0.08322736,0.072158899,0.087376353,0.0752814,0.072090711,0.066398966,0.088784996,0.114009807,0.08645397,0.083737253,0.091712839,0.078767446,1.4,5
