date,open,high,low,close,adj close,volume,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,sentiment,count
04-01-21,13705,13830,13590,13675,13349.05273,22869,0.092580154,0.079591782,0.083031666,0.08544785,0.090549072,0.125708241,0.086361706,0.078980174,0.084568658,0.096950763,0.096229933,0.75,4
05-01-21,13665,13980,13650,13750,13422.26465,21954,0.073447038,0.076579831,0.089301343,0.099339423,0.090567476,0.076759275,0.11057255,0.075331023,0.087034939,0.138873733,0.08219337,1,5
06-01-21,13900,13920,13610,13695,13368.5752,27991,0.088542132,0.084797646,0.106335389,0.111886118,0.081396681,0.08533505,0.087322957,0.087091297,0.102347595,0.086534481,0.078410653,1,4
07-01-21,13615,14175,13570,13980,13646.78223,40322,0.079499431,0.083521155,0.101655794,0.091271716,0.073382224,0.088785475,0.086864837,0.101821265,0.09050916,0.117469251,0.085219692,0,4
08-01-21,14120,14465,14120,14465,14120.22266,42645,0.126288228,0.099234803,0.090324993,0.081477233,0.105181493,0.097477213,0.089462292,0.078332011,0.075953728,0.080566422,0.075701583,1.25,8
11-01-21,14465,14660,14295,14415,14071.41406,30341,0.157096416,0.086603877,0.100434078,0.08031692,0.096047784,0.079160967,0.088635013,0.079868404,0.079894821,0.080014855,0.071926865,1,2
12-01-21,14630,15045,14625,14900,14544.85449,44718,0.123632652,0.108752057,0.077807809,0.079265149,0.08589113,0.125618485,0.097368058,0.06972614,0.08183773,0.072090636,0.078010154,1.571428571,7
13-01-21,14895,14945,14645,14835,14481.40332,31327,0.136204863,0.10238767,0.085420178,0.071753064,0.102166114,0.069627621,0.118046469,0.069027023,0.087754871,0.085552888,0.07205924,1,1
14-01-21,14960,15235,14960,15075,14715.68262,29419,0.085997215,0.104425591,0.085024885,0.105974507,0.086905129,0.103412581,0.096862195,0.089166207,0.077673619,0.084446208,0.080111863,0.1,10
15-01-21,15075,15400,14835,14845,14491.16504,39732,0.100593266,0.091632548,0.094271747,0.093042432,0.101751044,0.075916939,0.091842263,0.09076391,0.087758929,0.082422962,0.090003961,-0.2,5
18-01-21,14865,15335,14865,15125,14764.49121,25741,0.098571458,0.112426007,0.086403107,0.075659502,0.087209029,0.113976575,0.097031382,0.080756654,0.079243892,0.076305117,0.092417277,1.555555556,9
19-01-21,15220,15265,14950,15155,14793.77637,26233,0.088530401,0.087914083,0.082020299,0.087594451,0.087040748,0.086941938,0.100135242,0.088929555,0.111650084,0.089550488,0.089692712,-0.25,4
20-01-21,15195,15220,14985,15170,14808.41895,25733,0.088530401,0.087914083,0.082020299,0.087594451,0.087040748,0.086941938,0.100135242,0.088929555,0.111650084,0.089550488,0.089692712,-0.25,0
21-01-21,15190,15385,14850,14880,14525.33106,31822,0.080002497,0.078010558,0.089579976,0.114026597,0.095360757,0.088233616,0.088706058,0.08556329,0.090456537,0.109636376,0.080423739,0,6
22-01-21,14630,14695,14245,14335,13993.32129,41547,0.145817835,0.10413024,0.079590465,0.070930161,0.078205676,0.069536907,0.103097687,0.077900635,0.073723691,0.078839806,0.118226896,-2,2
25-01-21,14445,14500,13625,13660,13334.41016,47265,0.194896564,0.082550171,0.069877171,0.07099316,0.083790056,0.085307162,0.078076396,0.100485809,0.070654526,0.084878765,0.07849022,-1.75,4
26-01-21,13540,13600,13160,13225,12909.77832,52500,0.168016792,0.090437056,0.076594223,0.077847601,0.115540951,0.090244858,0.079084395,0.079653741,0.073391168,0.071756683,0.077432531,-1.333333333,6
27-01-21,13105,13105,12130,12600,12299.67481,82958,0.115329796,0.102977183,0.080916765,0.074598279,0.093727169,0.113130917,0.086473325,0.090260996,0.075114275,0.079964101,0.087507194,-1.2,5
28-01-21,12485,12775,11885,12775,12470.50391,62392,0.160383534,0.087923671,0.090433907,0.072370296,0.081370296,0.088261729,0.113573112,0.072730276,0.073133575,0.072088553,0.087731052,0,2
29-01-21,12590,12855,12420,12720,12416.81543,39291,0.100800655,0.113247084,0.09571518,0.080423545,0.08099012,0.079279195,0.083118951,0.106039229,0.085992737,0.089665257,0.084728048,-0.25,8
01-02-21,12835,13535,12695,13420,13100.12988,48506,0.077153176,0.081968081,0.102369441,0.078647509,0.083297659,0.087853293,0.089411356,0.118451227,0.095058237,0.095660836,0.090129186,-0.333333333,3
02-02-21,13600,13700,13260,13310,12992.75195,35344,0.078438228,0.086152374,0.124851381,0.078843428,0.078539513,0.078470862,0.078815841,0.132590589,0.078864198,0.105702149,0.078731435,1,2
03-02-21,13530,13690,13475,13570,13246.55469,24606,0.086946147,0.086989758,0.08746836,0.087756387,0.087148677,0.087011402,0.087701223,0.087558432,0.087797917,0.126089255,0.087532444,0,1
04-02-21,13600,13615,13055,13100,12787.75781,39278,0.080166221,0.080231658,0.08096654,0.123017293,0.080473992,0.088388245,0.081327895,0.089362164,0.10643994,0.10030781,0.08931824,0.5,2
05-02-21,13620,13620,13225,13410,13090.36816,29553,0.074893512,0.115831479,0.09549432,0.10722073,0.079431047,0.103007183,0.085773637,0.089114761,0.083098338,0.083033529,0.083101464,2.571428571,7
08-02-21,13285,13510,13220,13325,13007.39453,29705,0.110406894,0.09377135,0.100112186,0.078834405,0.083505953,0.129067084,0.082413123,0.074460765,0.079695382,0.083922456,0.083810402,0.428571429,7
09-02-21,13325,13535,13325,13410,13090.36816,24564,0.153908926,0.114400022,0.08723714,0.097495793,0.084387949,0.067010316,0.115474676,0.067007202,0.067885463,0.067545556,0.077646958,1,1
10-02-21,12400,12845,12050,12495,12197.17773,103044,0.090740474,0.095333646,0.092773468,0.080836685,0.079620848,0.083175406,0.082740424,0.132293933,0.090718475,0.08139883,0.090367811,0.136363636,22
11-02-21,12500,12850,12490,12850,12543.7168,41158,0.101421364,0.090004521,0.094065736,0.085506378,0.086025419,0.109965077,0.084990723,0.096128678,0.078461943,0.093801158,0.079629003,-0.090909091,11
12-02-21,12900,12900,12460,12670,12368.00684,45926,0.087955385,0.072045193,0.107767023,0.101514394,0.102564758,0.081579814,0.094946024,0.07915617,0.084936909,0.104294206,0.083240123,2.333333333,3
15-02-21,12760,12820,12455,12455,12158.13086,25727,0.07400446,0.074317595,0.111415145,0.085145561,0.102172183,0.070601981,0.100086947,0.084328153,0.085650656,0.116703928,0.095573392,1.75,4
16-02-21,12510,12565,12160,12320,12026.34863,49710,0.114373931,0.118037165,0.09558354,0.075630819,0.098040014,0.077967883,0.09886049,0.078605297,0.076062567,0.086948835,0.079889459,2.333333333,3
17-02-21,12330,12770,12270,12690,12387.53027,35558,0.101681916,0.092279297,0.08931756,0.093455528,0.089780019,0.104271889,0.082417945,0.083109481,0.076692245,0.080021935,0.106972185,1.083333333,12
18-02-21,12695,12840,12320,12370,12075.15723,32623,0.096195514,0.078030812,0.087821493,0.096342093,0.095620322,0.091363782,0.09638733,0.079372391,0.087529769,0.09455701,0.096779482,-0.2,5
19-02-21,12485,12850,12475,12830,12524.19336,39359,0.135594189,0.12638326,0.096662209,0.083310176,0.096049804,0.0899916,0.079427725,0.073743636,0.073024867,0.074249357,0.071563176,1.428571429,7
22-02-21,12810,13065,12670,12860,12553.47754,25557,0.11567032,0.103170576,0.085501688,0.118244024,0.094121739,0.076822307,0.085854821,0.077980435,0.07094447,0.0866197,0.085069921,-2.5,2
23-02-21,12905,13010,12490,12920,12612.04785,34389,0.073480029,0.078864047,0.079255719,0.142528215,0.080934082,0.097892456,0.101579432,0.076948288,0.097202936,0.083637712,0.087677083,0,3
24-02-21,12920,13910,12900,13805,13475.9541,52050,0.133062279,0.10007971,0.074312607,0.092007431,0.074121144,0.072980464,0.092047726,0.094706621,0.090230528,0.073704628,0.102746862,1.666666667,3
25-02-21,14000,14200,13670,13725,13397.86035,38506,0.096111756,0.122605702,0.080993486,0.081363968,0.100622025,0.069528644,0.095946665,0.089118459,0.084851318,0.086570591,0.092287387,0.666666667,3
26-02-21,13440,13540,13190,13240,12924.4209,56564,0.170360981,0.085758472,0.092552655,0.070031495,0.104768552,0.069159439,0.092556294,0.068899717,0.071248529,0.091588801,0.083075065,-3.75,4
01-03-21,13495,13855,13465,13780,13451.54981,26079,0.170360981,0.085758472,0.092552655,0.070031495,0.104768552,0.069159439,0.092556294,0.068899717,0.071248529,0.091588801,0.083075065,-3.75,0
