date,open,high,low,close,adj close,volume,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,sentiment,count
04-01-21,429.850006,433.899994,427.200012,433,427.046204,2371991,0.102705915,0.135699559,0.103277131,0.085946515,0.116628688,0.118163807,0.120866264,0.121006302,0.095705819,1,1
05-01-21,434.25,434.25,423.950012,423.950012,418.120636,2141797,0.102705915,0.135699559,0.103277131,0.085946515,0.116628688,0.118163807,0.120866264,0.121006302,0.095705819,1,0
06-01-21,423.950012,424.450012,417.549988,418,412.252441,2860414,0.106536306,0.09125871,0.108853729,0.101454851,0.125701695,0.088782002,0.122386195,0.124988003,0.13003851,1,1
07-01-21,418,425,417.799988,422.049988,416.246735,2816704,0.147003379,0.11851843,0.113465356,0.100237722,0.093901129,0.105328089,0.094764771,0.103571941,0.123209183,0.666666667,3
08-01-21,428.299988,428.299988,423.350006,425.649994,419.797241,2121322,0.099975221,0.116465685,0.102547755,0.116645041,0.140061745,0.100511592,0.110115974,0.105789807,0.107887179,1.5,4
11-01-21,425.149994,432.950012,422.649994,430.5,424.580566,2385706,0.095954965,0.106595709,0.109217712,0.113480465,0.121656021,0.096171447,0.116670898,0.104844995,0.135407787,-0.4,5
12-01-21,431.700012,434.5,426,426,420.142456,1950416,0.112475186,0.118488361,0.097305249,0.107829864,0.115659194,0.103240733,0.11429973,0.107588707,0.123112976,-0.333333333,3
13-01-21,425,433.350006,422.5,432.950012,426.996887,2307093,0.110819207,0.100493839,0.150867071,0.117092532,0.111089209,0.091559377,0.117510507,0.106143401,0.094424857,-0.333333333,3
14-01-21,431.700012,437.649994,430.799988,437.25,431.237762,1977071,0.108282696,0.104424766,0.147089132,0.10406167,0.116630939,0.096278967,0.097598816,0.122957153,0.10267586,0.857142857,7
15-01-21,436.799988,445,436.200012,442.649994,436.563507,2472642,0.101649991,0.109480064,0.113127021,0.096430266,0.095503926,0.12997504,0.110780884,0.106581064,0.136471743,-1.571428571,7
18-01-21,442.649994,444.049988,439,439.25,433.210266,1239351,0.101649991,0.109480064,0.113127021,0.096430266,0.095503926,0.12997504,0.110780884,0.106581064,0.136471743,-1.571428571,0
19-01-21,441.5,450.649994,440.950012,448.799988,442.628937,2406121,0.110401574,0.096639533,0.178528769,0.108041767,0.092471344,0.110442683,0.093713218,0.094818846,0.114942266,0,1
20-01-21,444.450012,446.649994,442.649994,443.5,437.401825,1833571,0.127616419,0.103128618,0.097779662,0.125418633,0.115079792,0.125574743,0.103982949,0.103794007,0.097625176,0.2,10
21-01-21,446.649994,448.149994,443,443.850006,437.747009,2075510,0.11087821,0.101889875,0.096184393,0.11081847,0.112595787,0.12710787,0.112757262,0.108799729,0.118968405,-0.666666667,6
22-01-21,444,446.899994,440.149994,444.5,438.388062,1799765,0.116111289,0.117283397,0.104331103,0.10820711,0.128228932,0.101492286,0.101864874,0.116231943,0.106249066,1.5,4
25-01-21,447.149994,449.649994,443.549988,449.649994,443.467255,1534773,0.158426418,0.119775974,0.102054308,0.0992521,0.115095821,0.095522659,0.096523514,0.10991425,0.103434956,-0.25,4
26-01-21,440.899994,455.100006,440.5,448.100006,441.938568,2633807,0.103175777,0.112994065,0.122008811,0.10255136,0.139127847,0.104350336,0.104128959,0.103775389,0.107887455,0.5,2
27-01-21,448.899994,450.549988,434.5,437.75,431.730865,2656386,0.094502884,0.123658746,0.109561035,0.120681007,0.117989951,0.097501856,0.132540814,0.108274166,0.095289541,1.333333333,3
28-01-21,431.899994,440.950012,428.299988,436.549988,430.547363,2874174,0.119140065,0.109883748,0.102281488,0.116218214,0.127001621,0.110598907,0.101056421,0.108510889,0.105308648,-1,2
